artist,year,lyrics,recognized,name,topic1,topic2,decade,id,song_hash
Tina Turner,1984,"You must understand

Though the touch of your hand

Makes my pulse react

That it's only the thrill

Of boy meeting girl

Opposites attract

It's physical

Only logical

You must try to ignore

That it means more than that



What's love got to do, got to do with it

What's love, but a second-hand emotion

What's love got to do, got to do with it

Who needs a heart when a heart can be broken



It may seem to you

That I'm acting confused

When you're close to me

If I tend to look dazed

I read it some place

I've got cause to be

There's a name for it

There's a phrase that fits

But whatever the reason

You do it for me, ooh



What's love got to do, got to do with it

What's love, but a second-hand emotion

What's love got to do, got to do with it

Who needs a heart when a heart can be broken



I've been taking on a new direction

But I have to say

I've been thinking 'bout my own protection

It scares me to feel this way, ooh



What's love got to do, got to do with it

What's love, but a second-hand emotion

What's love got to do, got to do with it

Who needs a heart when a heart can be broken



What's love got to do, got to do with it

What's love, but a sweet old fashioned notion

What's love got to do, got to do with it

Who needs a heart when a heart can be broken



(What's love got to do) Uh,got to do with it

(What's love... but a second-hand emotion)

What's love got to do, got to do with it

Who needs a heart when a heart can be broken

(What's love) uh uh, got to do with it...",1,What's Love Got to Do with It,Desire (love/flirting),Love (devotion),1980,24,What's Love Got to Do with ItTina Turner
Madonna,1985,"I made it through the wilderness

Somehow I made it through

Didn't know how lost I was

Until I found you

I was beat incomplete

I'd been had, I was sad and blue

But you made me feel

Yeah, you made me feel

Shiny and new



Like a virgin

Touched for the very first time

Like a virgin

When your heart beats 

Next to mine



Gonna give you all my love, boy

My fear is fading fast

Been saving it all for you

'Cause only love can last



You're so fine and you're mine

Make me strong, yeah you make me bold

Oh your love thawed out

Yeah, your love thawed out

What was scared and cold



Like a virgin

Touched for the very first time

Like a virgin

When your heart beats 

Next to mine



Oooh, oooh, oooh



You're so fine and you're mine

I'll be yours 'till the end of time

'Cause you made me feel

Yeah, you made me feel

I've nothing to hide



Like a virgin

Touched for the very first time

Like a virgin

When your heart beats

Next to mine



Like a virgin, ooh, ooh

Like a virgin

Feels so good inside

When you hold me, and you hug me, and you love me



Oh, oh, oh, oh, oh, oh, oh, oh, oh",1,Like a Virgin,Desire (love/flirting),Love (devotion),1980,25,Like a VirginMadonna
Lionel Richie,1986,"CHORUS :

Say you, say me; say it for always

That's the way it should be

Say you, say me; say it together

Naturally

I had a dream I had an awesome dream

People in the park playing games in the dark

And what they played was a masquerade

And from behind of walls of doubt a voice was crying out



CHORUS

As we go down life's lonesome highway

Seems the hardest thing to do is to find a friend or two

A helping hand - Some one who understands

That when you feel you've lost your way

You've got some one there to say \""I'll show you\""



CHORUS

So you think you know the answers - Oh no

'Couse the whole world has got you dancing

That's right - I'm telling you

It's time to start believing - Oh yes

Believing who you are: You are a shining star



CHORUS

Say it together... naturally",0,"Say You, Say Me",Friendship,Motivation (independance/confidence),1990,26,"Say You, Say MeLionel Richie"
Heart,1987,"I hear the ticking of the clock

I'm lying here the room's pitch dark

I wonder where you are tonight

No answer on the telephone

And the night goes by so very slow

Oh I hope that it won't end though

Alone



Till now I always got by on my own

I never really cared until I met you

And now it chills me to the bone

How do I get you alone

How do I get you alone



You don't know how long I have wanted

To touch your lips and hold you tight, oh

You don't know how long I have waited

and I was going to tell you tonight

But the secret is still my own

and my love for you is still unknown

Alone

Till now I always got by on my own

I never really cared until I met you

And now it chills me to the bone

How do I get you alone

How do I get you alone



How do I get you alone

How do I get you alone

Alone, alone",1,Alone,Desire (love/flirting),Love (devotion),1980,27,AloneHeart
INXS,1988,"Come over here 
All you got is this moment 
The twenty-first century's yesterday 
You can care all you want 
Everybody does yeah that's okay 


So slide over here 

And give me a moment 

Your moves are so raw 

I've got to let you know 

I've got to let you know 

You're one of my kind 



I need you tonight 

'Cause I'm not sleeping 

There's something about you girl 

That makes me sweat 



How do you feel 

I'm lonely 

What do you think 

Can't take it all 

Whatcha gonna do 

Gonna live my life",0,Need You Tonight,Desire (love/flirting),Love (devotion),1990,28,Need You TonightINXS
Bobby Brown,1989,"(feat. Aaron Hall, Bernard Bill, Lee Drakeford, ...)

Everybody's talking all this stuff about me 
Why don't they just let me live? 
I don't need commission, make my own decisions 
That's my prerogative 



They say I'm crazy 

I really don't care 

That's my prerogative 

They say I'm nasty 

But I don't give a damn 

Getting girls is how I live 

Some messy questions 

Why am I so real? 

But they don't undersand me 

I really don't know the deal about her brother 

Trying hard to make it right 

Not long ago 

Before I win this fight, sing 



[Chorus:]

Everybody's talking all this stuff about me 

Why don't they just let me live? 

Tell me why I don't need commission 

Make my own decisions 

That's my prerogative 

It's my prerogative (it's my prerogative) 



It's the way that I wanna live (it's my prerogative) 

I can do just what I feel (it's my prerogative) 

No one can tell me what to do (it's my prerogative) 

'Cause what I'm doing I'm doing for you 



Don't get me wrong 

I'm really not souped 

Ego trips is not my thing 

All these strange relationships really gets me down 

I see nothing wrong in spreading myself around 



[Chorus]



I can do what I wanna do (it's my prerogative) 

I can live my life (it's my prerogative) 

And I'm doing it just for you (it's my prerogative) 



Tell me, tell me why can't I live my life 

Live my life without all of the things 

That people say oh 



Yo, teddy kick it like this 

Oh no no I can do what I wanna do 

Me and you together together together together together 



[chorus: ad lib and fade]",0,My Prerogative,Desire (love/flirting),Other,1990,29,My PrerogativeBobby Brown
Roxette,1990,"(It must have been love...)

(But it's over now...)

Lay a whisper on my pillow

leave the winter on the ground

I wake up lonely, there's air of silence 

In the bedroom and all around. 

Touch me now, I close my eyes and dream away.



It must have been love

But it's over now

It must have been good

But I lost it somehow

It must have been love

But it's over now

From the moment we touched

Till the time had run out



Make believing we're together

That I'm sheltered by your heart

But in and outside, I turn to water

Like a teardrop in your palm

And it's a hard winter's day, I dream away



It must have been love 

But it's over now 

It was all that I wanted

Now I'm living without

It must have been love 

But it's over now 

It's where the water flows

It's where the wind blows



It must have been love

But it's over now

It must have been good

But I lost it somehow

It must have been love

But it's over now

From the moment we touched

Till the time had run out



Yeah, it must have been love

But it's over now

It was all that I wanted

Now I'm living without

It must have been love

But it's over now

It's where the water flows

It's where the wind blows



(Must have been love but it's over now...)

(It must have been love but it's over now...)",1,It Must Have Been Love,Love (devotion),Break-up (heartbreak),1980,30,It Must Have Been LoveRoxette
Color Me Badd,1991,"Come inside take off your coat I'll make you feel at home

Now let's pour a glass of wine cause now we're all alone

I've been waiting for you girl just let me hold you close to me

Cause I've been dying for you girl to make love to me

Girl you make me feel real good

We can do it til we both wake up

Girl you know I'm hooked on you

And this is what I'll do



I wanna sex you

All night

You make me feel good

I wanna rub you down

I wanna sex you up



Let me take off all your clothes

Disconnect the phone so nobody knows

Let me light a candle

So we can make it better

Makin' love until we drown



Girl you know it feels real good

We can do it til we both wake up

Girl you know I'm hooked on you

And this is what I'll do



I wanna sex you up

Makin' love until we drown

I wanna sex you up

All I wanna do is

I wanna sex you up

All night

Girl you make me feel good

I wanna rub you down

I wanna sex you up



Make sweet lovin' all night long

I wanna sex you up

Feels so right it can't be wrong

Don't be shy girl rescue me

I wanna sex you up

Open up your heart and I'll set you free",0,I Wanna Sex You Up,Desire (love/flirting),Other,2000,31,I Wanna Sex You UpColor Me Badd
Sir Mix-a-Lot,1992,"Oh, my, god. Becky, look at her butt.

It is so big. *scoff* She looks like,

one of those rap guys' girlfriends.

But, y'know, who understands those rap guys? *scoff*

They only talk to her, because,

she looks like a total prostitute, 'kay?

I mean, her butt, is just so big. *scoff*

I can't believe it's just so round, it's like,

out there, I mean - gross. Look!

She's just so ... black!



I like big butts and I can not lie

You other brothers can't deny

That when a girl walks in with an itty bitty waist

And a round thing in your face

You get sprung, wanna pull out your tough

'Cause you notice that butt was stuffed

Deep in the jeans she's wearing

I'm hooked and I can't stop staring

Oh baby, I wanna get wit'cha

And take your picture

My homeboys tried to warn me

But with that butt you got makes me feel so horny

Ooh, Rump-o'-smooth-skin

You say you wanna get in my Benz?

Well, use me, use me

'Cause you ain't that average groupy

I've seen them dancin'

The hell with romancin'

She's sweat, wet,

Got it goin' like a turbo 'Vette

I'm tired of magazines

Sayin' flat butts are the thing

Take the average black man and ask him that

She gotta pack much back

So, fellas! (Yeah!) Fellas! (Yeah!)

Has your girlfriend got the butt? (Hell yeah!)

Tell 'em to shake it! (Shake it!) Shake it! (Shake it!)

Shake that healthy butt!

Baby got back!



(LA face with Oakland booty)

Baby got back!



I like 'em round, and big

And when I'm throwin' a gig

I just can't help myself, I'm actin' like an animal

Now here's my scandal

I wanna get you home

And ugh, double-up, ugh, ugh

I ain't talkin' bout Playboy

'Cause silicone parts are made for toys

I want 'em real thick and juicy

So find that juicy double

Mix-a-Lot's in trouble

Beggin' for a piece of that bubble

So I'm lookin' at rock videos

Knock-kneeded bimbos walkin' like hoes

You can have them bimbos

I'll keep my women like Flo Jo

A word to the thick soul sistas, I wanna get with ya

I won't cuss or hit ya

But I gotta be straight when I say I wanna *fuck*

Til the break of dawn

Baby got it goin' on

A lot of simps won't like this song

'Cause them punks like to hit it and quit it

And I'd rather stay and play

'Cause I'm long, and I'm strong

And I'm down to get the friction on

So, ladies! {Yeah!} Ladies! {Yeah}

If you wanna role in my Mercedes {Yeah!}

Then turn around! Stick it out!

Even white boys got to shout

Baby got back!



Baby got back!

Yeah, baby ... when it comes to females, Cosmo ain't got nothin'

to do with my selection. 36-24-36? Ha ha, only if she's 5'3\"".



So your girlfriend rolls a Honda, playin' workout tapes by Fonda

But Fonda ain't got a motor in the back of her Honda

My anaconda don't want none

Unless you've got buns, hun

You can do side bends or sit-ups,

But please don't lose that butt

Some brothers wanna play that \""hard\"" role

And tell you that the butt ain't gold

So they toss it and leave it

And I pull up quick to retrieve it

So Cosmo says you're fat

Well I ain't down with that!

'Cause your waist is small and your curves are kickin'

And I'm thinkin' bout stickin'

To the beanpole dames in the magazines:

You ain't it, Miss Thing!

Give me a sista, I can't resist her

Red beans and rice didn't miss her

Some knucklehead tried to dis

'Cause his girls are on my list

He had game but he chose to hit 'em

And I pull up quick to get wit 'em

So ladies, if the butt is round,

And you want a triple X throw down,

Dial 1-900-MIXALOT

And kick them nasty thoughts

Baby got back!



(Little in the middle but she got much back)

(Little in the middle but she got much back)

(Little in the middle but she got much back)

(Little in the middle but she got much back)",1,Baby Got Back,Desire (love/flirting),Other,1990,32,Baby Got BackSir Mix-a-Lot
Janet Jackson,1993,"Like a moth to a flame

Burned by the fire

My love is blind

Can't you see my desire?

That's the way love goes 


Like a moth to a flame

Burned by the fire

My love is blind

Can't you see my desire? 



Like a moth to a flame

Burned by the fire

My love is blind

Can't you see my desire

That's the way love goes

Like a moth to a flame

Burned by the fire

That's the way love goes

My love is blind

Can't you see my desire? 



Come with me

Don't you worry

I'm gonna make you crazy

I'll give you the time of your life 



I'm gonna take you places

You've never been before and

You'll be so happy that you came 



Oooooh, I'm gonna take you there

Oo-ooh hoo-ooh oo-ooh

That's the way love goes

Hoo

That's the way love goes

That's the way love goes

That's the way love goes 



Don't mind if I light candles

I like to watch us play and

Baby, I've got on what you like 



Come closer

Baby closer

Reach out and feel my body

I'm gonna give you all my love

Ooh sugar don't you hurry

You've got me here all night

Just close your eyes and hold on tight 



Ooh baby

Don't stop, don't stop

Go deeper

Baby deeper

You feel so good I'm gonna cry 



Oooooh I'm gonna take your there

Oo-ooh hoo-ooh oo-ooh

That's the way love goes

Hoo

That's the way love goes

That's the way love goes it goes it goes

Oooh that's the way love goes

Reach out and feel my body

That's the way love goes

Dontcha know

That's the way

Like a moth to a flame

Burned by the fire

My love is blind

Can't you see my desire

Like a moth to a flame

Burned by the fire My love is blind

Can't you see my desire?

That's the way love goes...",1,That's the Way Love Goes,Desire (love/flirting),Love (devotion),1990,33,That's the Way Love GoesJanet Jackson
All-4-One,1994,"i swear by the the moon 
and the stars in the sky 
and i swear like the 
shadow that's by your side 
i see the questions in your eyes 
i know what's waiting on your mind 

you can be sure i know my part 

'cause i stand beside you through the years 

you'll only cry those happy tears 

and though i make mistakes 

i'll never break your heart 



and i swear by the moon 

and the stars in the sky i'll be there 

i swear like the shadow that's by your side 

i'll be there for better or worse 

till death do us part 

i'll love you with every beat of my heart 

and i swear 



i'll give you every thing i can 

i'll build your dreams with these two hands 

we'll hang some memories on the wall 

and when (and when) just the two of us are there 

you won't have to ask if i still care 

'cause as the time changes the page 

my love won't ever age at all 



and i swear (i swear) by the moon 

and the stars in the sky i'll be there (i'll be there) 

i swear (and i swear) like the shadow that's by your side 

i'll be there (i'll be there) for better or worse 

till death do us part i'll love you 

with every single beat of my heart and i swear 



and i swear (i swear) by the moon 

and the stars in the sky i'll be there (i'll be there) 

i swear (and i swear) like the shadow that's by your side 

i'll be there (i'll be there) 

for better or worse (better or worse) 

till death do us part i'll love you 

with every single beat of my heart 

i swear i swear i swear",0,I Swear,Desire (love/flirting),Love (devotion),1960,34,I SwearAll-4-One
TLC,1995,"A lonely mother gazing out of the window

Staring at a son that she just can't touch

If at any time he's in a jam, she'll be by his side

But he doesn't realize he hurts her so much

But all the praying just ain't helping at all

'Cause he can't seem to keep himself out of trouble

So he goes out and he makes his money the best way he knows how

Another body laying cold in the gutter

Listen to me



Don't go chasing waterfalls

Please stick to the rivers and the lakes that you're used to

I know that you're gonna have it your way or nothing at all

But I think you're moving too fast



Little precious has a natural obsession for temptation

But he just can't see

She gives him loving that his body can't handle

But all he can say is, \""Baby, it's good to me\""

One day, he goes and takes a glimpse in the mirror

But he doesn't recognize his own face

His health is fading, and he doesn't know why

Three letters took him to his final resting place

Y'all don't hear me



Don't go chasing waterfalls

Please stick to the rivers and the lakes that you're used to

I know that you're gonna have it your way or nothing at all

(Your way or no way)

But I think you're moving too fast

Don't go chasing waterfalls

Please stick to the rivers and the lakes that you're used to

I know that you're gonna have it your way or nothing at all

But I think you're moving too fast



Come on!

I seen a rainbow yesterday, but too many storms

Have come and gone, leaving a trace of not one God-given ray

Is it because my life is ten shades of gray, I pray

All ten fade away, seldom praise Him for the sunny days

And like His promise is true, only my faith can undo

The many chances I blew to bring my life to anew

Clear blue and unconditional skies

Have dried the tears from my eyes, no more lonely cries

My only bleeding hope is for the folk who can't cope

With such an endurin' pain that it keeps 'em in the pourin' rain

Who's to blame for tooting 'caine into your own vein?

What a shame, you shoot and aim for someone else's brain

You claim the insane, and name this day in time

For falling prey to crime

I say the system's got you victim to your own mind

Dreams are hopeless aspirations in hopes of coming true

Believe in yourself, the rest is up to me and you



Don't go chasing waterfalls

Please stick to the rivers and the lakes that you're used to

I know that you're gonna have it your way or nothing at all

But I think you're moving too fast

Don't go chasing waterfalls

Please stick to the rivers and the lakes that you're used to

I know that you're gonna have it your way or nothing at all

But I think you're movin' too fast (Ooh, you're movin' too fast)

Don't go chasing waterfalls (Don't go, don't go)

Please stick to the rivers and the lakes that you're used to

I know that you're gonna have it your way or nothing at all

(I know, I know, your way hey)

But I think you're moving too fast",1,Waterfalls,Motivation (independance/confidence),Other,1990,35,WaterfallsTLC
Mariah Carey,1996,"Sorry I never told you

All I wanted to say

And now it's too late to hold you

'Cause you've flown away

So far away

Never had I imagined

Living without your smile

Feeling and knowing you hear me

It keeps me alive

Alive 



And I know you're shining down on me from Heaven

Like so many friends we've lost along the way

And I know eventually we'll be together

One sweet day



Darling, I never showed you

Assumed you'd always be there

I took your presence for granted

But I always cared

And I miss the love we shared



And I know you're shining down on me from Heaven

Like so many friends we've lost along the way

And I know eventually we'll be together

One sweet day



Although the sun will never shine the same

I'll always look to a brighter day

Lord I know when I lay me down to sleep

You will always listen as I pray



And I know you're shining down on me from Heaven

Like so many friends we've lost along the way

And I know eventually we'll be together

One sweet day



And I know you're shining down on me from Heaven

Like so many friends we've lost along the way

And I know eventually we'll be together

One sweet day



Sorry I never told you

All I wanted to say",0,One Sweet Day,Love (devotion),Death (loss/grief),1990,36,One Sweet DayMariah Carey
Puff Daddy,1997,"(feat. Mase)



{Puff} Bad Boy... we ain't gon' stop

{Verse One: Mase}



Now with Sean on the hot track, melt like it's hot wax

Put it out, all the stores, bet you could shop that (that's right)

Leave a nigga with a hot hat, fronting like

Bad Boy ain't got tracks (nigga stop that)

There's no guy slicker than this young fly nigga

Nickel-nine nigga, floss you die quicker (uh-huh)

This fed time outta town pie flipper

Turn Cristal into a Crooked I sipper

Everbody want to be fast, see the cash

Fuck around they weak staff, get a heat rash

Anything in Bad Boy way we smash (we smash)

Hundred G stash, push a bulletproof E-Class (ehehe)

I'm through with bein a player and a baller

Just want me one bad bitch so I can spoil her

Mase wanna be the one you respect, even when you're vexed

Rock Versace silks over spilled brunette

Got green never seen so you suck my jewels

Clutch my uz', anything I touch I bruise

Puff make his own laws, nigga fuck your rules (that's right)

Goodfellas, you know you can't touch us dudes



{Puff} Don't push us, cause we're close to the, edge

{Puff} We're tryin, not to lose our heads, a-hah hah hah hah



{Verse Two: Mase}



Broken glass everywhere {glass shatters}

if it ain't about the money, Puff, I just don't care (that's right)

I'm that Goodfella fly guy, sometimes wiseguys

Spend time in H-A-W-A-I-I

(Mase can you please stop smoking lah lah?)

Puff why try? I'm a thug, I'ma die high

I be out in Jersey, puffin Hershey

Brothers ain't worthy to rock my derby

Though I'm never drugged, I'm the venom in the club, G

Though I know the thug be wantin to slug me (uh-huh)

Could it be I move as smoove as Bugsy? (yeah)

Or be at the bar with too much bubbly? (c'mon)

Yo I think it must be the girls want to lust me

Or is it simply the girls just love me

Brothers wanna: rock the Rolls, rock my clothes

Rock my ice, pull out Glocks, stop my life (uhh)

I'm like, \""Damn, how these niggaz got they trust?

Used to be my man, how you gonna plot on my wife?\""

Do you think you snake me, cause they hate me?

Or he got his Ph.D; Player Hater's Degree? (Ahaha!)



{Chorus: Mase, Puff Daddy}



{Mase} Can't nobody take my pride

{Puff} Uh-uh, uh-uh

{Mase} Can't nobody hold me down... ohh no

{Mase} I got to keep on movin



{Verse Three: Mase}



Quit that! (uh-huh) You a big cat? (yeah)

Where your chicks at? (yeah) Where your whips at? (where dey at?)

Wherever you get stacks, I'ma fix that

Everything that's big dreams, I did that (that's right)

Don't knock me cause you're boring

I'm record sales soaring (*whistling*) straight touring

Simply a lot of men be wantin to hear me

cause their words just don't offend me (uh-uh, uh-uh)

We spend cheese, in the West Indies

Then come home to plenty cream Bentleys (ahehe)

You name it, I could claim it

Young, black, and famous, with money hangin out the anus

And when you need a hit, who you go and get? (who?)

Bet against us? (Not a sure bet)

We make hits that'll rearrange your whole set (that's right)

and got a Benz that I ain't even drove yet



{Mase} Don't push us, cause we're close to the, edge

{Mase} We're tryin, not to, lose our heads, a-hah-hah-hah-hah



{Mase} I get the feeling sometime, that make me wonder

{Mase} Why you wanna take us under

{Puff} Why you wanna take us under

{repeat 2X}



{Chorus: repeat to fade}",1,Can't Nobody Hold Me Down,Money (power/flexing),Other,1990,37,Can't Nobody Hold Me DownPuff Daddy
Brandy,1998,"Monica 
Excuse me do I know you cause uhh, you know you look kinda familiar? 
Brandy 
Yeah, you do too but, umm, I just wanted to know do you know somebody named you, you know his name. 


Monica 

Oh, yeah definitely I know his name. 



Brandy 

I just wanted to let you know he's mine. 



Monica 

Huh..no no, he's mine. 



(chorus) 

You need to give it up. 

Had about enough. 

It's not hard to see, the boy is mine. 

I'm sorry that you 

Seem to be confused 

He belongs to me 

The boy is mine 



Brandy 

I think it's time we got this straight 

let's sit and talk face to face 

There is no way you could mistake 

him for your man - are you insane? 



Monica 

See I know that you may be 

just a bit jealous of me. 

But you're blind If you can't see 

that his love is all in me. 



Brandy 

You see I try to hesitate 

I didn't want to say what he told me 

He said without me he couldn't make 

it through the day, ain't that a shame. 



Monica 

Maybe your misunderstood 

Cause I can't see how he could 

wanna change something that's so good 

Because my love was all it took. 



(Chorus) 



Monica 

Must you do the things you do 

keep on acting like a fool 

You need to know it's me not you 

And if you didn't know it girl, it's true. 



Brandy 

I think that you should realize 

I'm trying to understand why 

He is a part of my life 

I know it's killing you inside. 



Monica 

You can say what you want to say 

What we have you can't take 

From the truth you can't escape 

I can tell the real from the fake. 



Brandy 

When will you get the picture 

Your the past I'm the future 

Get away it's my time to shine 

if you didn't know the boy is mine. 



(chorus x2) 



Monica 

You can't destroy this love I've found 

Your silly games I won't allow 

the boy is mine without a doubt 

You might as well throw in the towel. 

Brandy 

What makes you think that he wants you 

when I'm the one that brought him to 

special places in my heart 

Cause he was my love from the start 



(chorus x2) 



Monica 

Not yours! 



Brandy 

But mine! 



(repeat x3) 



(chorus)",1,The Boy Is Mine,Desire (love/flirting),"Jealousy (cheating, promiscuity)",2000,38,The Boy Is MineBrandy
TLC,1999,"A scrub is a guy that thinks he's fly 
And is also known as a buster 
Always talkin' about what he wants 
And just sits on his broke ass 
So (no) 


I don't want your number (no) 

I don't want to give you mine and (no) 

I don't want to meet you nowhere (no) 

I don't want none of your time and (no) 



I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 

I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 



But a scrub is checkin' me 

But his game is kinda weak 

And I know that he cannot approach me 

Cuz I'm lookin' like class and he's lookin' like trash 

Can't get wit' no deadbeat ass 

So (no) 



I don't want your number (no) 

I don't want to give you mine and (no) 

I don't want to meet you nowhere (no) 

I don't want none of your time (no) 



I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 

I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 



If you don't have a car and you're walking 

Oh yes son I'm talking to you 

If you live at home wit' your momma 

Oh yes son I'm talking to you (baby) 

If you have a shorty but you don't show love 

Oh yes son I'm talking to you 

Wanna get with me with no money 

Oh no I don't want no (oh) 



No scrub 

No scrub (no no) 

No scrub (no no no no no) 

No scrub (no no) 

No 



I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 

I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 



I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 

I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 



I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 

I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 



I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me 

I don't want no scrub 

A scrub is a guy that can't get no love from me 

Hanging out the passenger side 

Of his best friend's ride 

Trying to holler at me",1,No Scrubs,Desire (love/flirting),Other,2000,39,No ScrubsTLC
Santana,2000,"Man, it's a hot one

Like seven inches from the midday sun

I hear you whisper and the words melt everyone

But you stay so cool

My muñequita, my Spanish Harlem Mona Lisa

You're my reason for reason, the step in my groove



And if you say this life ain't good enough

I would give my world to lift you up

I could change my life to better suit your mood

Because you're so smooth



And it's just like the ocean under the moon

It's the same as the emotion that I get from you

You got the kind of loving that can be so smooth

Gimme your heart, make it real, or else forget about it



I'll tell you one thing

If you would leave it would be a crying shame

In every breath and every word

I hear your name calling me out

Out from the barrio, you hear my rhythm from your radio

You feel the turning of the world so soft and slow

Turning you round and round



And if you say this life ain't good enough

I would give my world to lift you up

I could change my life to better suit your mood

Because you're so smooth



And it's just like the ocean under the moon

It's the same as the emotion that I get from you

You got the kind of loving that can be so smooth

Gimme your heart, make it real, or else forget about it



And it's just like the ocean under the moon

It's the same as the emotion that I get from you

You got the kind of loving that can be so smooth

Gimme your heart, make it real, or else forget about it



Or else forget about it

Or else forget about it

Oh, let's don't forget about it

(Gimme your heart, make it real)

Let's don't forget about it (hey)

Let's don't forget about it (no oh no oh)

Let's don't forget about it (no no no oh)

Let's don't forget about it (hey no no oh)

Let's don't forget about it (hey hey hey)",0,Smooth,Desire (love/flirting),Love (devotion),1970,40,SmoothSantana
Alicia Keys,2001,"I keep on fallin'

In and out of love 
With you

Sometimes I love ya

Sometimes u make me blue

Sometimes I feel good

At times I feel used

Lovin you darlin'

Makes me so confused



I keep on 

Fallin'

In and out of love with you

I never loved someone

The way that I love you



Verse 2

Oh, oh , I never felt this way

How do you give me so much pleasure

And cause me so much pain

Just when I think

I've taken more than would a fool

I start fallin' back in love with you



I keep on 

Fallin'

In and out of love with you

I never loved someone

The way that I love you



Bridge

Oh baby

I, I, I, I'm fallin'

I, I, I, I'm fallin'

Fall



I keep on 

Fallin'

In and out of love with you

I never loved someone

The way that I love you



I'm fallin'

In and out of love with you

I never loved someone

The way that I love you



I'm fallin'

In and out of love with you

I never loved someone

The way that I love you



What?",1,Fallin',Desire (love/flirting),Love (devotion),2000,41,Fallin'Alicia Keys
Ashanti,2002,"See my days are cold without you 
But I'm hurtin while im with you 
And though my heart can't take no more 
I keep on running back to you 
See my days are cold without you 
But I'm hurtin while im with you 

And though my heart can't take no more 

I keep on running back to you 



Baby I don't know why ya treatin me so bad 

You said you love me, no one above me 

And I was all you had 

And though my heart is eating for ya

I can't stop crying 

I don't know how

I allow you to treat me this way and still i stay 



See my days are cold without you

But I'm hurtin while im with you 

And though my heart can't take no more 

I keep on running back to you 

See my days are cold without you 

But I'm hurtin while im with you 

And though my heart can't take no more 

I keep on running back to you 



Baby I don't know why ya wanna do me wrong

See when I'm home, I'm all alone 

And you are always gone 

And boy, you kno I really love you 

I can't deny 

I can't see how you could bring me to so many tears 

after all these years 



See my days are cold without you 

But I'm hurtin while im with you 

And though my heart can't take no more 

I keep on running back to you 

See my days are cold without you 

But I'm hurtin while im with you 

And though my heart can't take no more 

I keep on running back to you 

Oohhhhh

I trusted you, I trusted you

So sad, so sad 

what love will make you do 

all the things that we accept 

be the things that we regret 

too all of my ladies (ladies) feel me 

c'mon sing wit me 

See, when I get the strength to leave 

You always tell me that you need me

And I'm weak cause I believe you

And I'm mad because I love you

So I stop and think that maybe

You can learn to appreciate me

Then it all remains the same that

You ain't never gonna change 

(never gonna change, never gonna change) 

See my days are cold without you

But I'm hurtin while im with you 

And though my heart can't take no more 

I keep on running back to you 

See my days are cold without you 

Butm hurtin while im with you 

And though my heart can't take no more

I keep on running back to you 



Baby why you hurt me leave me and desert me 

Boy I gave you all my heart

And all you do is tear it up

Looking out my window

Knowing that I should go 

Even when I pack my bags

This something always hold me back",0,Foolish,Love (devotion),Break-up (heartbreak),2000,42,FoolishAshanti
